,x_i,n,sum1,sum2
0,-10.000000000000000,100.000000000000000,3.030173925855996e+40,3.030173925855983e+40
1,-9.800000000000001,100.000000000000000,5.327818754411e+38,5.327818754411035e+38
2,-9.600000000000001,100.000000000000000,8.615120479064716e+36,8.615120479064756e+36
3,-9.400000000000002,100.000000000000000,1.2766391044038532e+35,1.27663910440384e+35
4,-9.200000000000003,100.000000000000000,1.7271721289405414e+33,1.7271721289404964e+33
5,-9.000000000000004,100.000000000000000,2.1248186913038246e+31,2.1248186913037103e+31
6,-8.800000000000004,100.000000000000000,2.366832926109103e+29,2.3668329261086455e+29
7,-8.600000000000005,100.000000000000000,2.3762126353012772e+27,2.3762126353019996e+27
8,-8.400000000000006,100.000000000000000,2.1396722194037875e+25,2.1396722194012947e+25
9,-8.200000000000006,100.000000000000000,1.718984593082863e+23,1.718984593075956e+23
10,-8.000000000000007,100.000000000000000,1.2252060953962768e+21,1.225206095466029e+21
11,-7.800000000000007,100.000000000000000,7.700561495613133e+18,7.700561489890902e+18
12,-7.600000000000007,100.000000000000000,4.240041213289344e+16,4.240041214948147e+16
13,-7.400000000000007,100.000000000000000,203087593266222.0,203087586263040.0
14,-7.200000000000006,100.000000000000000,839733520739.2368,839734870016.0
15,-7.000000000000006,100.000000000000000,2972648523.106949,2972685312.0
16,-6.800000000000006,100.000000000000000,8928409.405078467,8927360.0
17,-6.600000000000006,100.000000000000000,22542.120404354966,22392.0
18,-6.400000000000006,100.000000000000000,45.964997106247665,21.0
19,-6.200000000000006,100.000000000000000,-0.946848207083009,-0.875
20,-6.000000000000005,100.000000000000000,-1.006571423672053,-1.19921875
21,-5.800000000000005,100.000000000000000,-1.000747071723374,-1.013671875
22,-5.600000000000005,98.000000000000000,-0.999972998954755,-1.00006103515625
23,-5.400000000000005,92.000000000000000,-1.000005688182561,-0.999954223632812
24,-5.200000000000005,86.000000000000000,-1.000000984828151,-1.000007629394531
25,-5.000000000000004,81.000000000000000,-1.000000080550382,-1.000000238418579
26,-4.800000000000004,75.000000000000000,-0.999999998011416,-0.999999761581421
27,-4.600000000000004,70.000000000000000,-1.000000001637216,-1.000000039115548
28,-4.400000000000004,65.000000000000000,-1.000000002081356,-1.000000015832484
29,-4.200000000000004,61.000000000000000,-0.999999997947025,-0.999999996856786
30,-4.000000000000004,56.000000000000000,-0.999999983424987,-0.999999983527232
31,-3.800000000000003,52.000000000000000,-0.999999922201537,-0.99999992211815
32,-3.600000000000003,48.000000000000000,-0.999999643458138,-0.99999964347171
33,-3.400000000000003,44.000000000000000,-0.999998477243695,-0.99999847724348
34,-3.200000000000003,40.000000000000000,-0.999993973105695,-0.999993973106143
35,-3.000000000000003,37.000000000000000,-0.999977910042784,-0.999977910042503
36,-2.800000000000002,33.000000000000000,-0.999924988247853,-0.999924988247855
37,-2.600000000000002,30.000000000000000,-0.999763964399774,-0.999763964399776
38,-2.400000000000002,27.000000000000000,-0.999311487384763,-0.999311487384775
39,-2.200000000000002,25.000000000000000,-0.998137154053475,-0.99813715405347
40,-2.000000000000002,22.000000000000000,-0.995322264346633,-0.995322264346631
41,-1.800000000000002,20.000000000000000,-0.989090501347461,-0.989090501347463
42,-1.600000000000002,17.000000000000000,-0.976348384457372,-0.976348384457373
43,-1.400000000000002,15.000000000000000,-0.952285120607922,-0.952285120607922
44,-1.200000000000002,13.000000000000000,-0.9103139790706,-0.910313979070599
45,-1.000000000000002,12.000000000000000,-0.842700792861779,-0.842700792861779
46,-0.800000000000002,10.000000000000000,-0.742100964578004,-0.742100964578004
47,-0.600000000000002,8.000000000000000,-0.603856090578936,-0.603856090578936
48,-0.400000000000002,7.000000000000000,-0.428392355062418,-0.428392355062418
49,-0.200000000000002,5.000000000000000,-0.222702589227889,-0.222702589227889
50,-0.000000000000002,1.000000000000000,-2e-15,-2e-15
51,0.199999999999998,5.000000000000000,0.222702589227885,0.222702589227885
52,0.399999999999998,7.000000000000000,0.428392355062414,0.428392355062414
53,0.599999999999998,8.000000000000000,0.603856090578933,0.603856090578933
54,0.799999999999998,10.000000000000000,0.742100964578002,0.742100964578002
55,0.999999999999998,12.000000000000000,0.842700792861778,0.842700792861778
56,1.199999999999998,13.000000000000000,0.910313979070599,0.910313979070599
57,1.399999999999998,15.000000000000000,0.952285120607921,0.952285120607921
58,1.599999999999998,17.000000000000000,0.976348384457372,0.976348384457373
59,1.799999999999998,20.000000000000000,0.989090501347461,0.989090501347462
60,1.999999999999998,22.000000000000000,0.995322264346633,0.995322264346631
61,2.199999999999998,25.000000000000000,0.998137154053472,0.998137154053469
62,2.399999999999998,27.000000000000000,0.999311487384761,0.999311487384759
63,2.599999999999998,30.000000000000000,0.999763964399779,0.999763964399779
64,2.799999999999998,33.000000000000000,0.999924988247849,0.999924988247727
65,2.999999999999999,37.000000000000000,0.999977910042775,0.999977910042929
66,3.199999999999999,40.000000000000000,0.999993973105593,0.999993973105575
67,3.399999999999999,44.000000000000000,0.999998477244141,0.999998477248482
68,3.599999999999999,48.000000000000000,0.999999643453505,0.999999643462615
69,3.799999999999999,52.000000000000000,0.999999922210869,0.999999922129064
70,4.000000000000000,56.000000000000000,0.999999983406358,0.999999983541784
71,4.199999999999999,61.000000000000000,0.999999997901437,0.999999997206032
72,4.399999999999999,65.000000000000000,1.000000000419977,1.000000006984919
73,4.600000000000000,70.000000000000000,1.000000000804162,1.0
74,4.800000000000000,75.000000000000000,0.999999998631142,0.999999985098839
75,5.000000000000000,81.000000000000000,0.999999879022137,0.999999642372131
